"INT_DATE","INT_START","STRATUM","COUNTRY","ID","AGE","RESPSEX","RESEMPL","RESPPOB","RESPMAR","TRUCRTS","TRUPARL","TRUEXEC","TRUPRES"
2017-09-22,1960-01-01 14:51:00,1,3,2110059001,51,1,1,1,2,1,1,1,4
2017-09-22,1960-01-01 15:27:00,1,3,2110059002,66,2,0,1,2,1,1,1,4
2017-09-22,1960-01-01 15:56:00,1,3,2110059004,40,2,0,3,2,1,1,3,3
2017-09-22,1960-01-01 16:25:00,1,3,302038002,39,2,0,3,2,2,3,3,3
2017-09-22,1960-01-01 16:27:00,1,3,2110059005,58,2,0,1,2,2,1,2,2
2017-09-22,1960-01-01 17:13:00,1,3,1909066004,27,2,1,2,4,1,1,2,3
2017-09-22,1960-01-01 17:47:00,1,3,302038004,32,2,0,2,2,2,2,4,3
2017-09-22,1960-01-01 18:11:00,1,3,1909066006,48,1,0,1,1,1,2,1,2
2017-09-22,1960-01-01 19:02:00,1,3,1909066007,59,1,1,2,4,1,1,1,4
2017-09-23,1960-01-01 11:55:00,1,3,2010023002,61,2,0,2,4,4,4,4,4
2017-09-23,1960-01-01 12:43:00,1,3,2010023003,47,2,0,2,4,4,4,4,4
2017-09-23,1960-01-01 13:31:00,1,3,2010023005,44,2,1,2,4,2,3,3,4
2017-09-23,1960-01-01 13:31:00,1,3,1909066009,74,2,0,3,4,1,4,4,3
2017-09-23,1960-01-01 13:37:00,1,3,2110059010,30,1,1,4,4,4,3,3,3
2017-09-23,1960-01-01 13:38:00,1,3,1306062001,49,1,0,3,2,1,1,1,1
2017-09-23,1960-01-01 13:59:00,1,3,1006106001,36,1,1,3,4,1,2,1,1
2017-09-23,1960-01-01 14:17:00,1,3,2110059011,31,1,1,3,2,-1,3,2,3
2017-09-23,1960-01-01 14:21:00,1,3,2210080006,59,1,1,3,2,2,3,3,3
2017-09-23,1960-01-01 14:29:00,1,3,2010023006,34,2,0,2,3,4,4,4,4
2017-09-23,1960-01-01 14:31:00,1,3,1909066012,55,2,1,2,4,1,-1,3,4
