# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Caucasus Barometer time-series dataset Georgia
FAIRTRT: People are treated fairly by the government?
"Question text: Under the present government in Georgia, do you completely agree, somewhat agree, somewhat disagree, or completely disagree that people like yourself are treated fairly by the government?",
Note: The variable was recoded from 4-point scale into 2-point scale.
Time-series (%),Agree,Disagree,DK,RA
2008,40,43,17,1
2009,35,49,14,2
2010,44,43,12,2
2011,49,33,15,3
2012,49,22,28,2
2013,50,34,15,1
2015,31,54,14,1
2017,42,47,10,1
2019,35,55,9,1
2021,33,54,11,2
2024,42,45,12,1
TRUNGOS: Trust towards NGOs
"Question text: I will read out a list of social institutions and political unions. Please assess your level of trust toward each of them on a 5-point scale, where code 1 means 'Fully distrust', and code 5 means 'Fully trust'. First, please tell me how much do you trust or distrust - NGOs",
Note: The variable was recoded from 5-point scale into 3-point scale.
Time-series (%),Distrust,Neither trust nor distrust,Trust,DK/RA
2008,17,25,35,23
2009,15,34,28,24
2010,13,30,30,28
2011,15,29,22,35
2012,9,33,27,31
2013,15,41,23,21
2015,21,42,23,14
2017,23,39,23,15
2019,25,40,20,16
2021,23,43,21,13
2024,32,32,22,14
TRUMEDI: Trust towards Media
"Question text: I will read out a list of social institutions and political unions. Please assess your level of trust toward each of them on a 5-point scale, where code 1 means 'Fully distrust', and code 5 means 'Fully trust'. First, please tell me how much do you trust or distrust - Media",
Note: The variable was recoded from 5-point scale into 3-point scale.
Time-series (%),Distrust,Neither trust nor distrust,Trust,DK/RA
2008,16,28,50,6
2009,13,40,39,7
2010,14,41,36,8
2011,14,41,33,12
2012,14,51,23,12
2013,12,55,24,9
2015,16,54,22,8
2017,14,56,24,6
2019,22,50,20,8
2021,25,55,14,5
2024,36,35,24,6
TRULOCG: Trust towards Local government
"Question text: I will read out a list of social institutions and political unions. Please assess your level of trust toward each of them on a 5-point scale, where code 1 means 'Fully distrust', and code 5 means 'Fully trust'. First, please tell me how much do you trust or distrust - Local government",
Note: The variable was recoded from 5-point scale into 3-point scale.
Time-series (%),Distrust,Neither trust nor distrust,Trust,DK/RA
2009,20,37,36,8
2010,16,30,45,8
2011,14,33,43,10
2012,17,41,30,13
2013,18,46,28,7
2015,27,39,25,8
2017,26,37,32,5
2019,31,36,28,5
2021,32,37,26,5
2024,30,27,38,5
TRUHLTH: Trust towards Healthcare system
"Question text: I will read out a list of social institutions and political unions. Please assess your level of trust toward each of them on a 5-point scale, where code 1 means 'Fully distrust', and code 5 means 'Fully trust'. First, please tell me how much do you trust or distrust - Healthcare system",
Note: The variable was recoded from 5-point scale into 3-point scale.
Time-series (%),Distrust,Neither trust nor distrust,Trust,DK/RA
2008,14,20,62,4
2009,19,31,44,5
2010,12,33,52,3
2011,15,37,44,4
2012,16,38,39,7
2013,13,40,44,3
2015,10,33,55,3
2017,15,35,49,2
2019,21,34,43,2
2021,21,36,39,4
2024,26,24,48,2
TRUEXEC: Trust towards Executive government
"Question text: I will read out a list of social institutions and political unions. Please assess your level of trust toward each of them on a 5-point scale, where code 1 means 'Fully distrust', and code 5 means 'Fully trust'. First, please tell me how much do you trust or distrust - Executive government (Prime minister and ministers)",
Note: The variable was recoded from 5-point scale into 3-point scale.
Time-series (%),Distrust,Neither trust nor distrust,Trust,DK/RA
2008,29,30,31,11
2009,24,34,31,10
2010,18,32,41,10
2011,17,30,39,14
2012,7,27,49,17
2013,14,40,39,7
2015,31,39,20,10
2017,30,37,26,7
2019,40,32,21,7
2021,38,38,19,5
2024,40,24,30,6
TRUEDUC: Trust towards Educational system
"Question text: I will read out a list of social institutions and political unions. Please assess your level of trust toward each of them on a 5-point scale, where code 1 means 'Fully distrust', and code 5 means 'Fully trust'. First, please tell me how much do you trust or distrust - Educational system",
Note: The variable was recoded from 5-point scale into 3-point scale.
Time-series (%),Distrust,Neither trust nor distrust,Trust,DK/RA
2008,15,20,56,9
2009,15,28,48,9
2010,9,24,58,9
2011,10,24,54,12
2012,10,31,44,15
2013,7,31,55,8
2015,10,32,45,13
2017,17,35,43,4
2019,21,33,42,4
2021,26,35,34,5
2024,27,24,46,3
TRUCRTS: Trust towards Courts
"Question text: I will read out a list of social institutions and political unions. Please assess your level of trust toward each of them on a 5-point scale, where code 1 means 'Fully distrust', and code 5 means 'Fully trust'. First, please tell me how much do you trust or distrust - Court system",
Note: The variable was recoded from 5-point scale into 3-point scale.
Time-series (%),Distrust,Neither trust nor distrust,Trust,DK/RA
2008,29,28,28,15
2009,28,32,26,15
2010,18,30,29,23
2011,20,23,31,25
2012,27,28,18,26
2013,19,39,22,20
2015,23,37,24,15
2017,27,36,24,13
2019,36,33,17,13
2021,37,34,18,11
2024,33,29,23,14
TRUBANK: Trust towards Banks
"Question text: I will read out a list of social institutions and political unions. Please assess your level of trust toward each of them on a 5-point scale, where code 1 means 'Fully distrust', and code 5 means 'Fully trust'. First, please tell me how much do you trust or distrust - Banks",
Note: The variable was recoded from 5-point scale into 3-point scale.
Time-series (%),Distrust,Neither trust nor distrust,Trust,DK/RA
2008,15,21,54,11
2009,13,30,45,12
2010,10,24,49,17
2011,15,25,46,14
2012,20,27,38,15
2013,22,32,35,11
2015,34,31,27,8
2017,36,32,26,6
2019,37,31,25,6
2021,41,36,17,6
2024,40,27,28,5
TRUARMY: Trust towards Army
"Question text: I will read out a list of social institutions and political unions. Please assess your level of trust toward each of them on a 5-point scale, where code 1 means 'Fully distrust', and code 5 means 'Fully trust'. First, please tell me how much do you trust or distrust - Army",
Note: The variable was recoded from 5-point scale into 3-point scale.
Time-series (%),Distrust,Neither trust nor distrust,Trust,DK/RA
2008,8,12,75,6
2009,4,19,71,5
2010,3,12,80,5
2011,4,13,77,6
2012,5,17,68,10
2013,4,18,72,6
2015,4,17,74,5
2017,6,16,75,4
2019,6,18,73,2
2021,6,20,72,3
2024,7,14,76,3
RATEHAP: How happy would you say you are?
"Question text: Overall, how happy would you say you are? Please use this CARD, where code 1 means 'Very unhappy' and code '10' means 'Very happy' please choose any number between 1 and 10, which best reflects your situation.",
"Note: The variable was recoded from 10-point scale into 3-point scale. Options 1-4 were grouped to 1, 5,6 to 2, 7-10 to 3."
Time-series (%),Unhappy,In the middle,Happy,DK/RA
2010,16,30,51,3
2011,12,30,55,3
2012,12,32,54,2
2013,13,25,60,2
2015,13,32,54,1
2017,7,27,65,0
2019,8,27,64,0
2024,10,24,66,0
LIFESAT: Overall life satisfaction
"Question text: All things considered, how satisfied are you with your own life as a whole nowadays? Please use this CARD, where 1 means 'Not satisfied at all' and '10' means 'Completely satisfied.'",
"Note: The variable was recoded from 10-point scale into 3-point scale. Options 1-4 were grouped to 1, 5,6 to 2, 7-10 to 3."
Time-series (%),Not satisfied,Neutral,Satisfied,DK/RA
2010,34,32,32,2
2011,25,38,35,1
2012,29,37,31,3
2013,29,37,33,2
2015,38,36,26,0
2021,19,36,43,2
2024,12,35,52,1
FATEINLF: Perception of life
"Question text: Please tell me which comes closest to your view on this CARD, where 1 means 'Everything in life is determined by fate' and '10' means 'People shape their fate themselves'.",
"Note: The variable was recoded from 10-point scale into 3-point scale. Options 1-4 were grouped to 1, 5,6 to 2, 7-10 to 3."
Time-series (%),Everything in life is determined by fate,Neutral,People shape their fate themselves,DK/RA
2011,22,31,36,11
2012,31,25,34,10
2013,28,29,39,5
2015,33,25,40,2
2017,30,26,43,1
2019,26,30,42,2
2021,21,33,42,4
2024,27,25,46,2
PARTYSUPP: Which political party is closest to you?
Question text: There are a number of political parties in Georgia. Which political party is closest to you?,
Note: The question was recoded. Opposition parties were grouped together.
Time-series (%),Opposition parties,Ruling party,There is no such party,DK,RA
2019,26,21,36,6,11
2021,31,24,24,4,18
2024,19,21,31,8,22
