"INT_DATE","INT_START","SUBSTRATUM","STRATUM","COUNTRY","ID","RESPAGE","RESPSEX","RESPEMP","RESPPOB","RESPMAR","TRUCRTS","TRUPARL","TRUEXEC    ","TRUPRES","TRUHLTH","TRUNGOS","TRUMEDI","TRULOCG","TRURELI","TRUOMB","TRUSTEU","TRUSTUN"
2019-10-09,1960-01-01 15:06:00,1,1,3,50306501,37,2,0,1,4,1,1,1,1,3,3,3,1,4,2,4,4
2019-10-09,1960-01-01 16:11:00,1,1,3,50306502,34,2,0,3,6,4,3,3,3,3,3,3,3,4,4,5,5
2019-10-09,1960-01-01 17:58:00,1,1,3,50306513,31,2,0,3,4,3,2,3,3,4,3,4,3,3,4,3,2
2019-10-09,1960-01-01 18:44:00,1,1,3,50306507,55,1,1,1,4,2,2,1,1,3,4,4,2,2,2,3,2
2019-10-10,1960-01-01 11:10:00,1,1,3,221010102,29,1,1,3,4,3,3,2,1,3,3,3,3,5,1,3,3
2019-10-10,1960-01-01 12:17:00,1,1,3,221010103,78,2,0,1,8,3,4,3,3,2,3,4,3,4,3,-1,4
2019-10-10,1960-01-01 12:49:00,4,3,3,332305403,63,2,0,1,2,4,4,4,4,5,4,4,4,5,4,4,-1
2019-10-10,1960-01-01 13:13:00,1,1,3,211003702,24,2,0,3,-3,1,1,1,2,2,3,4,1,5,3,5,4
2019-10-10,1960-01-01 14:10:00,4,3,3,332305404,43,1,0,1,1,-1,-1,-2,-1,-1,-1,-2,-1,4,-1,-1,-1
2019-10-10,1960-01-01 14:24:00,1,1,3,211003706,23,1,0,1,1,1,1,2,1,5,1,3,1,1,1,5,4
2019-10-10,1960-01-01 14:58:00,8,2,3,292006701,63,1,1,2,6,3,1,1,1,1,3,1,-1,3,-1,3,1
2019-10-10,1960-01-01 15:14:00,1,1,3,211003707,21,1,0,1,1,2,1,1,1,1,-1,4,3,4,-1,-1,5
2019-10-10,1960-01-01 15:30:00,4,3,3,332305406,60,2,0,1,2,4,4,5,5,5,-1,-1,5,5,-1,-1,-1
2019-10-10,1960-01-01 16:10:00,7,2,3,495909603,35,1,0,2,4,1,1,1,1,1,4,3,1,5,2,1,3
2019-10-10,1960-01-01 16:15:00,4,3,3,332305407,35,2,0,1,8,2,4,4,5,5,2,-1,4,5,-1,-2,-2
2019-10-10,1960-01-01 16:48:00,6,2,3,413208102,61,1,1,3,4,2,4,3,3,4,3,3,4,5,-1,3,4
2019-10-10,1960-01-01 17:02:00,4,3,3,332305408,23,2,0,1,1,4,4,4,5,4,-1,-1,5,5,-1,-1,-1
2019-10-10,1960-01-01 17:23:00,1,1,3,180903101,65,2,0,4,2,2,2,3,3,3,3,1,1,3,2,3,-1
2019-10-10,1960-01-01 17:36:00,7,2,3,495909606,23,2,1,4,2,5,1,1,-1,3,5,4,5,5,4,4,5
2019-10-10,1960-01-01 18:04:00,1,1,3,180903102,41,2,1,4,5,3,3,3,3,4,4,3,2,3,3,4,4
2019-10-10,1960-01-01 18:25:00,7,2,3,495909608,47,2,0,3,4,3,3,5,4,4,-1,3,3,5,4,5,4
2019-10-10,1960-01-01 18:39:00,6,2,3,413208104,74,1,0,1,4,5,3,4,5,5,3,3,4,5,5,1,3
2019-10-10,1960-01-01 19:18:00,1,1,3,180903104,52,2,0,1,1,1,1,1,1,3,1,1,2,4,1,1,-1
2019-10-10,1960-01-01 19:26:00,7,2,3,495909609,22,2,1,2,1,1,3,2,1,3,3,1,3,3,3,3,-1
2019-10-11,1960-01-01 09:43:00,5,3,3,606102101,67,1,1,3,2,5,5,5,5,5,5,5,5,5,5,5,5
2019-10-11,1960-01-01 09:58:00,4,3,3,332305410,89,2,0,1,8,4,4,5,2,5,-1,-1,4,5,-1,-1,-1
2019-10-11,1960-01-01 10:57:00,4,3,3,332305405,69,2,1,4,2,5,5,-1,5,4,-1,-2,5,5,-2,-1,-1
2019-10-11,1960-01-01 11:09:00,5,3,3,606102102,44,1,1,1,8,4,2,2,2,4,2,2,2,2,2,2,2
2019-10-11,1960-01-01 11:22:00,4,3,3,322603303,18,1,0,3,-3,1,2,3,3,4,3,4,4,4,-1,2,2
2019-10-11,1960-01-01 12:07:00,4,3,3,332305412,85,1,0,1,2,5,5,4,5,5,4,5,5,5,5,-1,5
2019-10-11,1960-01-01 12:32:00,7,2,3,666710402,34,1,0,1,1,3,3,3,3,3,3,2,3,5,3,4,2
2019-10-11,1960-01-01 12:48:00,7,2,3,666710401,36,1,1,2,4,2,2,2,1,4,3,3,3,4,3,4,2
2019-10-11,1960-01-01 12:49:00,4,3,3,322603304,49,2,0,3,4,3,3,3,3,3,2,3,2,4,3,3,4
2019-10-11,1960-01-01 12:58:00,2,3,3,231101603,62,2,1,2,2,-1,3,-1,-1,4,-1,2,-1,5,2,-1,4
2019-10-11,1960-01-01 13:20:00,7,2,3,555400401,65,2,0,2,2,3,3,3,3,4,2,3,3,4,3,4,4
2019-10-11,1960-01-01 13:23:00,1,1,3,80505605,69,2,0,1,1,1,2,2,1,3,2,3,2,5,2,2,2
2019-10-11,1960-01-01 13:37:00,7,2,3,646602801,83,2,0,1,8,2,3,3,3,2,1,3,1,5,-1,-1,1
2019-10-11,1960-01-01 13:38:00,4,3,3,332305409,45,2,1,2,2,5,5,5,5,5,5,-1,5,5,5,3,-1
2019-10-11,1960-01-01 13:40:00,7,2,3,666710404,39,2,1,1,4,3,4,3,3,3,3,3,3,4,4,-1,-1
2019-10-11,1960-01-01 13:46:00,7,2,3,525104311,28,1,1,1,4,2,2,1,1,2,1,3,1,4,2,2,2
2019-10-11,1960-01-01 13:50:00,4,3,3,322603305,40,2,0,3,-3,3,3,3,3,4,4,3,4,5,4,4,4
2019-10-11,1960-01-01 13:52:00,1,1,3,20201401,22,2,0,2,1,4,3,3,3,4,3,3,3,3,4,4,4
2019-10-11,1960-01-01 14:04:00,1,1,3,211003715,24,1,0,1,1,2,1,1,1,5,4,1,1,4,4,5,5
2019-10-11,1960-01-01 14:11:00,1,1,3,10100506,20,2,0,3,1,3,3,3,4,4,3,3,4,5,3,4,4
2019-10-11,1960-01-01 14:23:00,1,1,3,40302504,58,2,0,2,6,2,2,3,2,3,2,2,3,4,2,2,2
2019-10-11,1960-01-01 14:29:00,7,2,3,555400403,67,2,0,3,8,3,2,3,2,3,2,3,3,5,3,2,2
2019-10-11,1960-01-01 14:34:00,1,1,3,180904001,34,2,0,3,4,2,3,2,2,3,3,3,3,4,4,3,-1
2019-10-11,1960-01-01 14:35:00,7,2,3,666710405,46,2,0,2,4,3,3,3,3,3,4,3,3,4,-1,4,4
2019-10-11,1960-01-01 14:37:00,9,2,3,687909801,50,2,1,1,4,3,3,4,3,4,3,1,1,5,3,3,3
2019-10-11,1960-01-01 14:38:00,6,2,3,413201703,42,1,1,2,3,3,2,3,1,3,3,3,3,5,3,3,3
2019-10-11,1960-01-01 14:42:00,1,1,3,20201405,47,2,1,5,4,1,1,2,2,3,4,4,3,5,1,5,5
2019-10-11,1960-01-01 14:52:00,4,3,3,322603307,32,1,1,1,1,4,-1,3,-1,3,-1,3,3,4,-1,4,4
2019-10-11,1960-01-01 14:53:00,7,2,3,646602802,42,1,1,1,4,1,1,1,1,3,1,3,2,2,1,1,-1
2019-10-11,1960-01-01 14:56:00,1,1,3,211003717,60,1,1,3,3,2,4,4,1,-1,4,2,4,3,2,5,-1
2019-10-11,1960-01-01 15:05:00,2,3,3,231101602,64,2,1,3,8,1,1,1,1,2,1,1,-1,5,1,1,1
2019-10-11,1960-01-01 15:23:00,6,2,3,413201704,62,2,0,4,4,-1,3,-1,2,3,3,3,-1,4,-1,4,3
2019-10-11,1960-01-01 15:23:00,1,1,3,10100509,65,2,0,3,1,1,1,1,1,3,3,3,3,4,4,3,1
2019-10-11,1960-01-01 15:33:00,1,1,3,20201409,18,1,0,3,1,4,2,3,3,4,4,2,4,4,4,4,4
2019-10-11,1960-01-01 15:42:00,9,2,3,687903602,44,2,0,2,5,1,1,1,1,1,1,3,3,5,1,3,3
2019-10-11,1960-01-01 15:44:00,1,1,3,120605210,52,2,1,2,4,1,1,2,3,2,1,3,2,3,3,2,-1
2019-10-11,1960-01-01 15:45:00,3,3,3,535004102,82,1,0,1,4,4,4,4,4,4,2,3,4,5,4,4,4
2019-10-11,1960-01-01 15:47:00,9,2,3,687909802,31,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3
2019-10-11,1960-01-01 15:49:00,7,2,3,666710407,22,2,0,1,1,3,2,3,2,3,2,3,3,4,3,3,3
2019-10-11,1960-01-01 15:52:00,1,1,3,180904003,36,1,0,3,6,4,2,2,2,3,4,3,2,4,3,4,4
