,Unnamed: 0,INT_DATE,STRATUM,COUNTRY,ID,AGE,RESPSEX,RESEMPL,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,hour,NO2,SO2,PM2.5,PM10,O3,CO,SO2_Daily,PM2.5_Daily,PM10_Daily,O3_Daily,CO_Daily,PC1
0,0,2017-09-22,1,3,2110059001,51,1,1,1,2,1,1,1,4,14,50.0,23.33333333333333,25.666666666666668,72.66666666666667,33.625,0.6366666666666666,18.55333333333333,25.1,70.72333333333333,48.685,1.086666666666667,-1.899709862474476
1,1,2017-09-22,1,3,2110059002,66,2,0,1,2,1,1,1,4,15,52.5,26.33333333333333,22.33333333333333,66.0,38.0,0.6633333333333333,18.55333333333333,25.1,70.72333333333333,48.685,1.086666666666667,-1.8997098624744853
2,2,2017-09-22,1,3,2110059004,40,2,0,3,2,1,1,3,3,15,52.5,26.33333333333333,22.33333333333333,66.0,38.0,0.6633333333333333,18.55333333333333,25.1,70.72333333333333,48.685,1.086666666666667,-1.1622346159104107
3,3,2017-09-22,1,3,302038002,39,2,0,3,2,2,3,3,3,16,58.0,24.666666666666668,27.0,75.33333333333333,41.75,0.6566666666666666,18.55333333333333,25.1,70.72333333333333,48.685,1.086666666666667,0.3693127183036662
4,4,2017-09-22,1,3,2110059005,58,2,0,1,2,2,1,2,2,16,58.0,24.666666666666668,27.0,75.33333333333333,41.75,0.6566666666666666,18.55333333333333,25.1,70.72333333333333,48.685,1.086666666666667,-1.5607260665897464
5,5,2017-09-22,1,3,1909066004,27,2,1,2,4,1,1,2,3,17,42.0,24.33333333333333,27.666666666666668,80.0,46.75,0.6433333333333334,18.55333333333333,25.1,70.72333333333333,48.685,1.086666666666667,-1.6947179143781848
6,6,2017-09-22,1,3,302038004,32,2,0,2,2,2,2,4,3,17,42.0,24.33333333333333,27.666666666666668,80.0,46.75,0.6433333333333334,18.55333333333333,25.1,70.72333333333333,48.685,1.086666666666667,0.3667639487443646
7,7,2017-09-22,1,3,1909066006,48,1,0,1,1,1,2,1,2,18,75.5,22.666666666666668,28.0,78.66666666666667,48.370000000000005,0.6366666666666667,18.55333333333333,25.1,70.72333333333333,48.685,1.086666666666667,-2.0196604951903607
8,8,2017-09-22,1,3,1909066007,59,1,1,2,4,1,1,1,4,19,94.0,24.33333333333333,34.666666666666664,117.33333333333331,46.935,0.6733333333333333,18.55333333333333,25.1,70.72333333333333,48.685,1.086666666666667,-1.8997098624744833
9,9,2017-09-23,1,3,2010023002,61,2,0,2,4,4,4,4,4,11,57.5,17.0,31.666666666666668,78.66666666666667,32.87,0.4466666666666666,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,2.6872858314898345
10,10,2017-09-23,1,3,2010023003,47,2,0,2,4,4,4,4,4,12,40.0,18.0,28.33333333333333,77.0,33.31,0.4833333333333334,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,2.6872858314898345
11,11,2017-09-23,1,3,2010023005,44,2,1,2,4,2,3,3,4,13,48.5,18.33333333333333,26.666666666666668,78.0,35.69,0.5133333333333333,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,0.6968040686751454
12,12,2017-09-23,1,3,1909066009,74,2,0,3,4,1,4,4,3,13,48.5,18.33333333333333,26.666666666666668,78.0,35.69,0.5133333333333333,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,0.9753448866386061
13,13,2017-09-23,1,3,2110059010,30,1,1,4,4,4,3,3,3,13,48.5,18.33333333333333,26.666666666666668,78.0,35.69,0.5133333333333333,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,1.2922791146235009
14,14,2017-09-23,1,3,1306062001,49,1,0,3,2,1,1,1,1,13,48.5,18.33333333333333,26.666666666666668,78.0,35.69,0.5133333333333333,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-2.882183913588918
15,15,2017-09-23,1,3,1006106001,36,1,1,3,4,1,2,1,1,13,48.5,18.33333333333333,26.666666666666668,78.0,35.69,0.5133333333333333,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-2.347151845561839
16,16,2017-09-23,1,3,2110059011,31,1,1,3,2,-1,3,2,3,14,43.5,19.0,25.33333333333333,72.66666666666667,38.065,0.5499999999999999,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,
17,17,2017-09-23,1,3,2210080006,59,1,1,3,2,2,3,3,3,14,43.5,19.0,25.33333333333333,72.66666666666667,38.065,0.5499999999999999,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,0.3693127183036672
18,18,2017-09-23,1,3,2010023006,34,2,0,2,3,4,4,4,4,14,43.5,19.0,25.33333333333333,72.66666666666667,38.065,0.5499999999999999,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,2.6872858314898345
19,19,2017-09-23,1,3,1909066012,55,2,1,2,4,1,-1,3,4,14,43.5,19.0,25.33333333333333,72.66666666666667,38.065,0.5499999999999999,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,
20,20,2017-09-23,1,3,1306062002,64,1,1,3,2,3,3,2,4,14,43.5,19.0,25.33333333333333,72.66666666666667,38.065,0.5499999999999999,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,0.6258039683672855
21,21,2017-09-23,1,3,2110068016,19,1,0,4,1,4,4,4,3,14,43.5,19.0,25.33333333333333,72.66666666666667,38.065,0.5499999999999999,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,2.359794481118356
22,22,2017-09-23,1,3,2110039002,23,1,0,1,1,4,1,1,3,15,56.5,24.33333333333333,20.666666666666668,60.0,42.19,0.5733333333333334,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-0.8427516183662112
23,23,2017-09-23,1,3,1909066013,28,2,1,3,2,2,1,2,2,15,56.5,24.33333333333333,20.666666666666668,60.0,42.19,0.5733333333333334,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-1.5607260665897464
24,24,2017-09-23,1,3,1005030003,26,2,0,3,5,3,3,3,4,15,56.5,24.33333333333333,20.666666666666668,60.0,42.19,0.5733333333333334,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,1.1582872668350621
25,25,2017-09-23,1,3,1006106005,28,1,0,3,1,1,1,1,4,15,56.5,24.33333333333333,20.666666666666668,60.0,42.19,0.5733333333333334,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-1.8997098624744833
26,26,2017-09-23,1,3,2210080007,64,2,1,3,1,1,1,1,3,15,56.5,24.33333333333333,20.666666666666668,60.0,42.19,0.5733333333333334,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-2.2272012128459617
27,27,2017-09-23,1,3,2110059013,70,2,0,3,8,4,2,3,2,15,56.5,24.33333333333333,20.666666666666668,60.0,42.19,0.5733333333333334,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,0.42975569622494314
28,28,2017-09-23,1,3,2210080001,55,2,0,3,1,1,1,1,4,15,56.5,24.33333333333333,20.666666666666668,60.0,42.19,0.5733333333333334,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-1.8997098624744833
29,29,2017-09-23,1,3,302038012,53,2,0,2,2,3,1,4,2,15,56.5,24.33333333333333,20.666666666666668,60.0,42.19,0.5733333333333334,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-0.03427627149427654
30,30,2017-09-23,1,3,1005030005,27,2,0,3,4,2,3,3,3,15,56.5,24.33333333333333,20.666666666666668,60.0,42.19,0.5733333333333334,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,0.3693127183036672
