,row_id,date,code,hour,NO2,SO2,PM2.5,PM10,O3,CO,SO2_Daily,PM2.5_Daily,PM10_Daily,O3_Daily,CO_Daily
0,0,2017-09-22,KZBG,14,*,31.0,22.0,83.0,48.0,0.5,20.21,23.22,82.57,64.62,1.05
1,0,2017-09-22,TSRT,14,83.0,23.0,32.0,78.0,19.25,0.94,20.12,30.76,76.02,32.75,1.65
2,0,2017-09-22,VRKT,14,17.0,16.0,23.0,57.0,*,0.47,15.33,21.32,53.58,*,0.56
3,1,2017-09-22,KZBG,15,*,34.0,17.0,77.0,53.38,0.53,20.21,23.22,82.57,64.62,1.05
4,1,2017-09-22,TSRT,15,88.0,23.0,28.0,63.0,22.62,1.01,20.12,30.76,76.02,32.75,1.65
5,1,2017-09-22,VRKT,15,17.0,22.0,22.0,58.0,*,0.45,15.33,21.32,53.58,*,0.56
6,2,2017-09-22,KZBG,15,*,34.0,17.0,77.0,53.38,0.53,20.21,23.22,82.57,64.62,1.05
7,2,2017-09-22,TSRT,15,88.0,23.0,28.0,63.0,22.62,1.01,20.12,30.76,76.02,32.75,1.65
8,2,2017-09-22,VRKT,15,17.0,22.0,22.0,58.0,*,0.45,15.33,21.32,53.58,*,0.56
9,3,2017-09-22,KZBG,16,*,37.0,26.0,89.0,56.62,0.55,20.21,23.22,82.57,64.62,1.05
10,3,2017-09-22,TSRT,16,83.0,18.0,32.0,79.0,26.88,1.01,20.12,30.76,76.02,32.75,1.65
11,3,2017-09-22,VRKT,16,33.0,19.0,23.0,58.0,*,0.41,15.33,21.32,53.58,*,0.56
12,4,2017-09-22,KZBG,16,*,37.0,26.0,89.0,56.62,0.55,20.21,23.22,82.57,64.62,1.05
13,4,2017-09-22,TSRT,16,83.0,18.0,32.0,79.0,26.88,1.01,20.12,30.76,76.02,32.75,1.65
14,4,2017-09-22,VRKT,16,33.0,19.0,23.0,58.0,*,0.41,15.33,21.32,53.58,*,0.56
15,5,2017-09-22,KZBG,17,*,37.0,27.0,96.0,60.75,0.56,20.21,23.22,82.57,64.62,1.05
16,5,2017-09-22,TSRT,17,54.0,24.0,31.0,82.0,32.75,0.99,20.12,30.76,76.02,32.75,1.65
17,5,2017-09-22,VRKT,17,30.0,12.0,25.0,62.0,*,0.38,15.33,21.32,53.58,*,0.56
18,6,2017-09-22,KZBG,17,*,37.0,27.0,96.0,60.75,0.56,20.21,23.22,82.57,64.62,1.05
19,6,2017-09-22,TSRT,17,54.0,24.0,31.0,82.0,32.75,0.99,20.12,30.76,76.02,32.75,1.65
