,name,code,year-month,day,NO<sub>2,SO<sub>2,PM2.5,PM10,O<sub>3,CO
342,AkakiTsereteliave.105,TSRT,2017-01,1,53.04,42.54,73.49,104.86,33.62,0.93
343,AkakiTsereteliave.105,TSRT,2017-01,2,53.42,79.62,21.01,40.85,32.25,1.23
344,AkakiTsereteliave.105,TSRT,2017-01,3,66.46,38.79,23.19,48.49,35.12,2.02
345,AkakiTsereteliave.105,TSRT,2017-01,4,77.42,44.33,34.96,64.30,20.00,2.42
346,AkakiTsereteliave.105,TSRT,2017-01,5,79.71,46.04,31.93,64.69,16.88,2.40
347,AkakiTsereteliave.105,TSRT,2017-01,6,83.25,49.96,44.23,79.14,16.62,2.64
348,AkakiTsereteliave.105,TSRT,2017-01,7,80.04,54.67,53.78,93.11,7.75,3.25
349,AkakiTsereteliave.105,TSRT,2017-01,8,82.83,56.83,61.07,99.53,9.25,4.00
350,AkakiTsereteliave.105,TSRT,2017-01,14,55.83,15.38,23.52,86.32,50.75,1.32
351,AkakiTsereteliave.105,TSRT,2017-01,15,67.50,13.92,42.69,67.65,34.75,1.50
352,AkakiTsereteliave.105,TSRT,2017-01,16,85.71,54.00,63.70,101.71,14.00,3.06
353,AkakiTsereteliave.105,TSRT,2017-01,17,88.04,20.54,105.55,165.03,6.12,3.64
354,AkakiTsereteliave.105,TSRT,2017-01,18,63.54,15.62,109.90,161.05,16.00,3.12
355,AkakiTsereteliave.105,TSRT,2017-01,19,56.50,14.96,77.02,100.87,31.75,1.14
356,AkakiTsereteliave.105,TSRT,2017-01,20,53.38,14.00,67.02,80.35,24.25,1.20
357,AkakiTsereteliave.105,TSRT,2017-01,21,57.08,15.96,45.87,72.17,26.25,1.30
358,AkakiTsereteliave.105,TSRT,2017-01,22,34.04,12.21,14.25,45.25,63.00,0.91
359,AkakiTsereteliave.105,TSRT,2017-01,23,52.67,50.88,11.01,35.97,43.75,1.20
360,AkakiTsereteliave.105,TSRT,2017-01,24,71.50,15.92,22.40,46.89,27.75,1.71
361,AkakiTsereteliave.105,TSRT,2017-01,25,80.67,19.75,45.79,80.31,11.75,2.33
362,AkakiTsereteliave.105,TSRT,2017-01,26,72.67,21.25,45.65,83.88,20.12,1.71
363,AkakiTsereteliave.105,TSRT,2017-01,27,56.21,16.38,19.11,47.65,49.38,1.55
364,AkakiTsereteliave.105,TSRT,2017-01,28,43.25,12.21,19.30,37.68,43.50,1.30
365,AkakiTsereteliave.105,TSRT,2017-01,29,45.96,13.25,16.31,27.89,60.12,1.18
366,AkakiTsereteliave.105,TSRT,2017-01,30,56.83,48.58,28.89,57.63,38.50,1.86
367,AkakiTsereteliave.105,TSRT,2017-01,31,61.88,12.00,32.02,68.97,37.00,1.82
368,Varketili,VRKT,2017-01,1,29.88,8.33,70.44,89.75,*,1.06
369,Varketili,VRKT,2017-01,2,18.58,8.54,16.98,22.97,*,0.47
370,Varketili,VRKT,2017-01,3,29.25,7.71,15.54,21.28,*,0.64
371,Varketili,VRKT,2017-01,4,25.21,40.67,19.62,27.31,*,0.85
372,Varketili,VRKT,2017-01,5,41.54,12.29,17.72,25.31,*,0.85
373,Varketili,VRKT,2017-01,6,37.75,11.33,24.61,34.39,*,0.85
374,Varketili,VRKT,2017-01,7,51.21,13.96,25.40,35.82,*,1.76
375,Varketili,VRKT,2017-01,8,52.00,12.92,31.86,48.80,*,2.51
376,Varketili,VRKT,2017-01,14,24.92,2.79,13.54,27.42,*,0.85
377,Varketili,VRKT,2017-01,15,46.75,3.46,35.62,50.84,*,1.77
378,Varketili,VRKT,2017-01,16,55.46,6.54,58.63,84.82,*,2.60
379,Varketili,VRKT,2017-01,17,63.21,6.33,69.67,101.46,*,2.00
380,Varketili,VRKT,2017-01,18,57.17,38.42,87.98,135.82,*,2.74
381,Varketili,VRKT,2017-01,19,40.46,4.50,76.54,110.13,*,1.02
382,Varketili,VRKT,2017-01,20,40.67,3.83,71.42,99.09,*,0.88
383,Varketili,VRKT,2017-01,21,24.29,2.88,46.52,69.40,*,0.97
384,Varketili,VRKT,2017-01,22,10.83,2.21,8.06,14.73,*,0.36
385,Varketili,VRKT,2017-01,23,16.00,2.17,4.21,9.69,*,0.39
386,Varketili,VRKT,2017-01,24,47.00,4.17,12.65,21.43,*,1.34
387,Varketili,VRKT,2017-01,25,42.00,38.12,30.97,52.48,*,1.89
388,Varketili,VRKT,2017-01,26,22.17,3.58,22.45,31.89,*,0.56
389,Varketili,VRKT,2017-01,27,15.33,2.42,6.44,11.95,*,0.36
390,Varketili,VRKT,2017-01,28,16.96,1.58,9.33,19.13,*,0.49
391,Varketili,VRKT,2017-01,29,26.54,2.38,10.77,20.15,*,0.80
392,Varketili,VRKT,2017-01,30,27.33,2.75,22.85,34.95,*,0.96
393,Varketili,VRKT,2017-01,31,37.29,1.79,18.91,31.54,*,0.75
422,AkakiTsereteliave.105,TSRT,2017-02,1,57.83,13.54,40.66,58.74,41.50,1.07
423,AkakiTsereteliave.105,TSRT,2017-02,2,38.38,15.50,19.89,42.84,63.75,0.84
424,AkakiTsereteliave.105,TSRT,2017-02,3,61.46,17.96,15.33,55.37,70.62,1.48
425,AkakiTsereteliave.105,TSRT,2017-02,4,86.62,16.79,39.89,83.45,18.00,1.89
426,AkakiTsereteliave.105,TSRT,2017-02,5,76.42,26.79,54.79,93.98,49.75,1.85
427,AkakiTsereteliave.105,TSRT,2017-02,6,71.58,63.71,38.44,69.78,36.88,2.02
428,AkakiTsereteliave.105,TSRT,2017-02,7,70.58,39.83,23.55,60.31,45.25,1.90
429,AkakiTsereteliave.105,TSRT,2017-02,8,64.38,24.50,35.79,80.92,30.62,2.11
430,AkakiTsereteliave.105,TSRT,2017-02,9,39.54,15.25,22.82,38.86,21.12,0.84
431,AkakiTsereteliave.105,TSRT,2017-02,10,28.29,12.21,9.26,12.49,36.12,0.55
432,AkakiTsereteliave.105,TSRT,2017-02,11,35.50,11.42,11.78,16.23,36.38,0.57
433,AkakiTsereteliave.105,TSRT,2017-02,12,38.58,12.33,16.52,24.31,43.62,0.93
434,AkakiTsereteliave.105,TSRT,2017-02,13,45.83,48.96,25.03,43.01,45.12,1.36
435,AkakiTsereteliave.105,TSRT,2017-02,14,54.04,28.88,20.05,33.05,41.88,1.30
436,AkakiTsereteliave.105,TSRT,2017-02,15,68.92,44.92,30.96,72.14,34.38,1.61
437,AkakiTsereteliave.105,TSRT,2017-02,16,55.88,39.75,22.07,61.47,41.25,1.10
438,AkakiTsereteliave.105,TSRT,2017-02,17,55.12,40.88,17.50,52.42,62.25,1.23
439,AkakiTsereteliave.105,TSRT,2017-02,18,64.00,43.88,18.26,50.24,43.25,1.23
